COW,Religiosity_Wave_7,Religiosity_Wave_6,Religiosity_Wave_5,Religiosity_Wave_4,Religiosity_Wave_3,Religiosity_Wave_2,Country,HDI_Wave_2,HDI_Wave_3,HDI_Wave_4,HDI_Wave_5,HDI_Wave_6,HDI_Wave_7,Life_Expectancy_Index_Wave_2,Life_Expectancy_Index_Wave_3,Life_Expectancy_Index_Wave_4,Life_Expectancy_Index_Wave_5,Life_Expectancy_Index_Wave_6,Life_Expectancy_Index_Wave_7,Education_Index_Wave_2,Education_Index_Wave_3,Education_Index_Wave_4,Education_Index_Wave_5,Education_Index_Wave_6,Education_Index_Wave_7,Income_Index_Wave_2,Income_Index_Wave_3,Income_Index_Wave_4,Income_Index_Wave_5,Income_Index_Wave_6,Income_Index_Wave_7,Religiosity_Index_7,Religiosity_Index_6,Religiosity_Index_5,Religiosity_Index_4,Religiosity_Index_3,Religiosity_Index_2
368, , , , ,1.5562560448052, ,Lithuania,.7134,.72148,.781666667,.8298,.85375,.874857143,.768982154,.775616154,.799010769,.801383692,.832942462,.84749033,.667873874,.70873749,.815459954,.892573137,.905825611,.916425453,11952.1,10496.54,14757.24349,23138.36547,25805.83042,33757.80842, , , , ,2.5562560448052, 
446,.693534804495897, , , , , ,Macau SAR, , , , , , , , , , , , , , , , , , , , , , , , ,1.6935348044959, , , , , 
343, , , ,1.78852699739117,1.45307336196938, ,Macedonia, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.78852699739117,2.45307336196938, 
820,2.19100600062602,2.31661195805711,2.39057582095726, , , ,Malaysia,.6556,.68532,.723833333,.7466,.7825,.804428571,.794654769,.804470769,.819640513,.833685538,.844039692,.852935604,.519404734,.571165095,.633169981,.65395325,.710618792,.743997403,11258,14303.51,15167.67676,18633.0249,21430.21597,25980.46848,3.19100600062602,3.31661195805711,3.39057582095726, , , 
781,2.58484822430935, , , , , ,Maldives, , ,.636,.667,.71375,.744142857,.692734154,.749905385,.805215897,.859008308,.901368,.921829231, ,.43266696,.480929283,.509227828,.561196922,.616505342,8848.17,11180.71,13404.64195,14267.11358,15009.22523,15797.67849,3.58484822430935, , , , , 
432, , ,2.52699703576145, , , ,Mali,.2504,.27708,.333666667,.382,.4095,.425857143,.420943077,.43578,.487879487,.537612615,.570686769,.599688571,.103675611,.142302194,.199399551,.263007433,.297993376,.307058811,1472.26,1515.08,1740.715754,1926.362108,1976.742696,2160.789401, , ,3.52699703576145, , , 
70,1.96033792513043,2.15476697301924,2.19382835048112,2.34547379096453,1.98503703103062,1.91149366835839,Mexico,.6672,.68124,.716166667,.7414,.759,.769285714,.778786154,.803741538,.829264359,.834515692,.838971385,.817130549,.527757502,.550901671,.600430229,.653281997,.68696851,.738570632,15090.84,15450.61,17079.05021,17720.29842,18037.12246,18660.33316,2.96033792513043,3.15476697301924,3.19382835048112,3.34547379096453,2.98503703103062,2.91149366835839
359, , ,1.86162938012083,1.89736938594647,1.69139679492954, ,Moldova,.6354,.62488,.657666667,.7116,.74325,.763571429,.718825846,.692373077,.720468718,.752499077,.756373538,.769474945,.518578892,.568984817,.634994032,.718919749,.783024258,.80504488,9613.22,5504.28,6172.82854,8540.08532,10116.47424,12738.38464, , ,2.86162938012083,2.89736938594647,2.69139679492954, 
712,1.01046132845591, , , , , ,Mongolia,.5648,.56876,.6155,.6786,.7205,.738571429,.609495077,.628836923,.669772051,.706183077,.739586154,.781840879,.520512367,.514587915,.599313157,.71805119,.764594078,.762700518,4051.29,4288.94,4904.039957,6681.510361,8771.243082,10494.85496,2.01046132845591, , , , , 
341, , , ,1.45931003561206,1.18093947836744, ,Montenegro, , ,.76,.786,.81475,.829285714,.841378769,.825822692,.830206923,.841263385,.867350462,.873055604, , ,.699138308,.771342923,.816941584,.83347891, ,10829.42,13069.8368,16008.37612,17339.39617,19966.87687, , , ,2.45931003561206,2.18093947836744, 
